,qID,sentence,option1,option2,answer,prediction,answer==pred,answer_occurs_first,comments,difficulty,ambiguous,knowledge needed,,,,stats,,%,
1155,3UOMW19E6D4P64KISGAIU36586JC55-1,Benjamin thought Android was the superior phone system but Ian thought IOS was better. _ bought a new Note 9 from Verizon.,Benjamin,Ian,1,1,TRUE,1,,,,Knowledge of android vs ios products,,,,,,,
416,3EKTG13IZWHVB4Y1HQW36MVMHCJLMW-1,When we go hiking I bring my backpack because it has built in water bottles and places for snacks. Today I forgot to bring the _ and was starving.,snacks,water bottles,1,1,TRUE,0,,,,Snacks make you full but not water,,,,,,,
32,3XQ4XW3ODBQS8DPYRHAK3ZVJ39CS28-2,Mary thought poodles were a cool dog but Rachel thought Great Danes were cooler. _ bought a gigantic dog bed for their pet.,Mary,Rachel,2,2,TRUE,0,,,,Size of dogs,,,,,,,
1165,307FVKVSYTTGSTKT7SVX1NWM1F474K-2,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too small.,teacup,bowl,2,2,TRUE,0,,,,Size of objects,,,,,,,
485,3DGDV62G7QNVVL96Z06Q8UQ9IXS2P9-2,The dog ran into the bedroom during the rainstorm while we stayed in the kitchen because the rain was softer in the _ .,kitchen,bedroom,2,2,TRUE,1,,,,Dogs don't like loud things,,,,,,,
770,3XEDXEGFX52NOK9C7LX4TPBVQKQK0J-2,Christopher declined when asked by Ian to play a game of chess because _ liked to play intellectual games.,Christopher,Ian,2,2,TRUE,0,,,,Chess is an intellectual game,,,,,,,
1033,34F34TZU7WXKFL71KPP6J0GOEG1J2P-1,"Felicia ran out of shirts and borrowed one from Patricia, but _ didn't ask permission ahead of time.",Felicia,Patricia,1,1,TRUE,1,,,,Person borrowing has to ask permission,,,,,,,
201,3QO7EE372Q1AJAAHI6EQ9SJMFT7BQB-2,"Victoria was eager to make the big sale to Sarah , as _ had the money that day.",Victoria,Sarah,2,1,FALSE,0,single error,,,Person being sold to has money,,,,,,,
1076,3SV8KD29L4Q5WGGVRHYW7QQ8JYVZKG-2,Kayla was always thinner than Rachel because _ enjoyed eating brioche and butter every morning.,Kayla,Rachel,2,1,FALSE,0,,,,Brioche and butter is fattening,,,,,,,
1152,3L1EFR8WWT3FA364M8D0EPWAWYVF9I-2,"The kids at camp liked the activities with water, but avoided the sand, because the _ was cleansed.",sand,water,2,2,TRUE,1,,,,Properties of sand and water,,,,,,,
99,3TFJJUELSHNX771VAX8KWW3TTE5C2M-2,Mike doesn't like the table in his living room as much as the couch. The _ resonates with the other decorations.,table,couch,2,2,TRUE,0,,,,People like decorations that match,,,,,,,
36,3U18MJKL1W08QIPVGEI4GIUZS1HNC0-2,Joel researched laws and helped to open a preschool for Eric. Because _ is very good with kids.,Joel,Eric,2,1,FALSE,0,ok,,yes,"I don't think this is right, but probably something like someone helping to open a preschool is good with kids",,,,,,,
637,3MVY4USGB81WJY30GKVCQF20S11IST-1,Starting the engine of the car took less time unlike the truck since the _ 's engine was working at the time.,car,truck,1,1,TRUE,1,,easy,,Something that's working takes less time to start,,,,,,,
644,3JYPJ2TAYKMFWFLINVLXSDKXPG3PFC-1,The dog was more suspicious of the locker than of the package because the drugs were in the _ .,locker,package,1,1,TRUE,1,,,,dogs are suspicious when they smell drugs,,,,,,,
1126,3BPP3MA3TEYXZG6O0S8KTEQD8GZLEQ-2,"Maria wasn't aware that Erin was coming up behind them, because _ was generally sneaky.",Maria,Erin,2,2,TRUE,0,,,,It's hard to notice sneaky people,,,,,,,
1022,3MYASTQBG9P3Y781W25W4I7NKIHDQU-1,"At the store, John signed a warranty contract for the tablet, but did not purchase insurance for the phone, because the _ was likely to be damaged.",tablet,phone,1,1,TRUE,1,,,,You buy warantees for things that are likely to be damaged,,,,,,,
1096,3NQUW096N661AVG08JGY921UTSY9LU-2,the scanning tool could not get through the cervix because the _ was too big.,cervix,tool,2,1,FALSE,1,,,,Size of objects,,,,,,,
351,3VQTAXTYN3JNHEIRFHMVRVS3P2SUBE-1,"Elena brought the horse to the stables owned by Cynthia, so _ could sell the animal.",Elena,Cynthia,1,1,TRUE,1,,,yes,Process of selling animals,,,,,,,
570,3UV0D2KX1MHEDX0S5DH9XHLUA5U4FM-1,"The wound responded quickly to the rubbing alcohol, but slowly to the ointment because the _ is more efficient.",rubbing alcohol,ointment,1,1,TRUE,1,,easy,,"If something works faster, it is more efficient",,,,,,,
1102,34D9ZRXCYRS2JRLVKYRZHJQ9MPFASG-2,Donald had to drive Matthew to the doctor immediately because _ was feeling lightheaded and dizzy.,Donald,Matthew,2,2,TRUE,0,,,,Sick person has to go to the hospital,,,,,,,
10,31KPKEKW4CRMVH5I18KBUMS42A0B0A-2,Joe immediately went to bakery before the bank because the _ had a substantial supply of what he wanted.,bakery,bank,2,1,FALSE,0,,hard,yes,"I don't think this is right, but maybe that you need money to buy things",,,,,,,
247,3SD15I2WD2SXC8OD469MT6GB35Z36Z-1,"the region was too crowded for our comfortable stay for all the people sent there , the _ were too small..",region,people,1,1,TRUE,1,,,,Size of objects,,,,,,,
450,30IRMPJWDZHWUPU4H04JLNO9AIIKRG-2,"Maria never received flowers from the customers unlike Monica, by virtue of _ being polite.",Maria,Monica,2,2,TRUE,0,,,,Polite people are appreciated by others,,,,,,,
1133,3GITHABAC0ZVS0XTJLTY45LDGCTN2K-1,The lady was blushing when she walked passed Amy but not Carrie because _ was intrigued by her.,Amy,Carrie,1,2,FALSE,1,reasonable,hard,yes,It may be harder to walk past someone who is intrigued by you?,,,,,,,
597,37VHPF5VYEHNNB2RACTLYL454CRC8P-1,"We didn't get the biscuits this morning before school, so I ordered an omelet instead of a hash brown as the _ would make me full.",omelet,hash brown,1,1,TRUE,1,,easy,,"If something is more filling, it makes you fuller",,,,,,,
404,3IV1AEQ4DTRAVP8XK4A7LPHZTCS8JK-1,"At their high school's homecoming dance, Natalie stayed on the floor for the slow dance while Maria got food during it, because _ currently had a significant other.",Natalie,Maria,1,1,TRUE,1,,,,You dance with your significant other,,,,,,,
359,338GLSUI439XFI23VEDRVK10J6YSFJ-1,Carrie loves putting sugar in coffee as opposed to Laura because _ thinks the coffee tastes better.,Carrie,Laura,1,1,TRUE,1,,,yes,I think this is wrong,,,,,,,
1151,39KMGHJ4RZ86H531JUBMI78DNSV006-1,"The laws of the government are a lot worse than the rules of schools, because the _ are strict.",laws,rules,1,1,TRUE,1,,easy,,Strict means worse for people,,,,,,,
880,3YO4AH2FPDIU5Y800S51XDZV0VXQ0W-2,"The rubber resisted the rock but snapped on the concrete, as the _ was abrasive.",rock,concrete,2,2,TRUE,0,,easy,no,abrasive surfaces snap things,,,,,,,
909,3CO05SML7XJ9BOM7X561U1X8KAKR0C-1,The store had 80 platters but only 2 bowls left in stock because the _ were in low demand.,platters,bowls,1,2,FALSE,1,,easy,no,low demand => more left,,,,,,,
936,31S7M7DAGGOKUAPE6PLF0226N2KLTV-2,"It was painful for Justin to break up with Jason, but _ wasn't ready to move on.",Justin,Jason,2,2,TRUE,0,,hard,yes,"i guess if you broke up with someone then you are ready to move on, but not necessarily?",,,,,,,
1175,39WSF6KUV2JQBCAETMCCTX6ZFXQEO3-2,Logan checked Samuel's garage to see if the car was there. It was missing so _ was gone.,Logan,Samuel,2,2,TRUE,0,,hard,no,car not there => went out,,,,,,,
232,3IJ95K7NDXA6D56TY22NEBR623NNG1-2,Randy showed Samuel the abused horse that he rescued from the shelter.  _ was proud of his friend.,Randy,Samuel,2,1,FALSE,0,ok,easy,potentially if the friend refers to the horse?,rescuing animal is something to be proud of,,,,,,,
1263,3T2EL38U0MI22OEB34U86RM65PZXQK-1,"Joel went to Michael 's house and consumed a lot of alcohol, so _ had to ride back home as a passenger.",Joel,Michael,1,2,FALSE,1,reasonable(alcohol -> can't drive),easy,no,alcohol => can't drive,,,,,,,
826,3ODOP6T3AUY96SNN1GE25WFER1W24I-1,He was having an asthma attack but forgot his inhaler so someone recommended coffee as the _ was unavailable.,inhaler,coffee,1,1,TRUE,1,,easy,no,forgot => unavailable,,,,,,,
422,32W3UF2EZOJ7ALGIEBR8PB0R8D4C4M-1,"Refraining from drinking was easy for Kyle but not Eric, as _ never enjoyed the taste of alcohol.",Kyle,Eric,1,1,TRUE,1,,easy,no,easy to refrain <= doesn't like it,,,,,,,
428,3ULIZ0H1VA35J1AKCJLYD7NE9T351S-2,Adam was cold and Michael was hot so _ removed a heavy jacket to withstand the freezing weather.,Adam,Michael,2,1,FALSE,0,,easy,no,hot => want to remove jacket,,,,,,,
23,3D06DR5225HZLW8Q01VD5AR3ZF6AMC-1,"They had to eat a lot to gain the strength they had lost and be able to work, the _ was too much.",work,strength,1,1,TRUE,0,,easy,no ,a lot of work => need energy,,,,,,,
988,311HQEI8RUUWVQ8ISLLNVJ9V2ECZ71-1,It doesn't take much to shift between ice and water. The _ is fluid and flexible when its warm.,water,ice,1,1,TRUE,0,,,yes,the prompt doesn't make sense and thi can be solved with local context,,,,,,,
1008,3JHB4BPSFMNRVHVKKM0UIMOXSZZQ9Q-2,Bill could only go out to the restaurants rather than the bars because going to the _ required a minimum age.,restaurants,bars,2,2,TRUE,0,,easy,no,can be solved with local context,,,,,,,
367,38F60IALAGF7XE0SHWZW2IAIFKP0T8-2,"Derrick was sad that Robert did not show up, _ forgot they had an agreement to meet each other.",Derrick,Robert,2,2,TRUE,0,,easy,no,doesn't show up <= forgot,,,,,,,
510,37NXA7GVSVKE1RSAVIXUTIEZ8B2LVW-1,Carrie kept written records of their expenses but not Laura because _ had a faulty memory.,Carrie,Laura,1,2,FALSE,1,,hard,no,have bad memory => want to keep written record,,,,,,,
514,3IVEC1GSLRDSKPOCLJ1S6FURFLWJ1F-2,The stain in the bucket could not be cleaned with the brush because the _ is soft.,stain,brush,2,2,TRUE,0,,easy,no,a soft brush has no cleaning power,,,,,,,
682,32ZCLEW0BZIG7S87MN0IFDOHU5JJP1-1,All of the bands were not able to march on the fields at the same time because the _ were massive.,bands,fields,1,1,TRUE,1,,easy,no,big things don't fit into small things,,,,,,,
924,3OYHVNTV5TWTXC2OP8NFRSJ4UEAOKK-2,"Samantha's main artistic medium was paint, while Patricia preferred to work with clay, since _ was trained as a sculptor.",Samantha,Patricia,2,2,TRUE,0,,easy,no ,clay <=> sculptor,,,,,,,
1071,3TC2K6WK9G0VV4BITLSFUA7AY5O82B-2,Rachel knew exactly how to treat the injured person's wound but not Emily because _ took a woodworking class in high school.,Rachel,Emily,2,1,FALSE,0,,easy,no but this doesn't make sense,,,,,,,,
667,3CZH926SICCM7J0WA2X3FZ0UTPHE4H-1,"Craig had cereal for breakfast while Dennis had a shake, so _ finished eating their breakfast.",Craig,Dennis,1,1,TRUE,1,,hard,no,cereal => eating and shake => drinking,,,,,,,
259,3FVBZG9CLLSWMU8410U7GXV3Y6JH0F-2,The teenager got a job at the supermarket instead of at the diner because he had to work during school at the _ .,supermarket,diner,2,1,FALSE,0,ambiguous/bad,hard,no,"teenagers go to school, and they work after school",,,,,,,
1010,39I4RL8QGLVDLIQ5K1H9S0LGFF2H4S-1,"Katrina demanded that Jessica get off of their property, because _ wasn't in the mood for visiting.",Katrina,Jessica,1,1,TRUE,1,,easy,no,want people to go away <= not in mood for visiting,,,,,,,
1086,3ACRLU860PSLM7KC9FJQFBU8WMLBET-2,Tanya recently finished filling out a job application but not Megan because _ is currently working.,Tanya,Megan,2,1,FALSE,0,,,yes,you don't fill out a job application if you are working..? but that's not true,,,,,,,
830,3QQUBC64ZECHZR1JNC2R2XR15U8NXK-2,Lindsey has dark lips unlike Elena due to _ remembering to put on chapsticks at night.,Lindsey,Elena,2,2,TRUE,0,,hard,no,if you put on chapsticks then your lips are not dark (??),,,,,,,
1031,3MDWE879UJG4RBTV1434NXTY6ZZB90-2,"The battery of the the phone died faster than the laptop battery, because the _ was always off.",phone,laptop,2,1,FALSE,0,,easy,no,always off => does not consume battery,,,,,,,
1251,3EN4YVUOUCQLG1AY8EAZ9QAKW4SJXP-2,The architect tried to build the room inside the house but the _ was too large.,house,room,2,2,TRUE,1,,easy,no,big things don't fit into small things,,,,,,,
849,3UYRNV2KITXRKQ0BF4QZMYA890Y8NL-2,"Ryan grew the houseplant from seed, but Matthew bought a plastic plant instead, because _ tended to neglect plants.",Ryan,Matthew,2,1,FALSE,0,,easy,no,tend to neglect plants => don't want to buy real plants,,,,,,,
649,3EHVO81VN5JHZUUFDLM724Q4EZ9H1U-1,"We were making orange jack o lanterns and  bought candles to put in the oranges, the candles did not fit. The _ were too big.",candles,oranges,1,2,FALSE,1,,easy,no,big things don't fit into small things,,,,,,,
477,3AFT28WXLHGHL6B793E36ASZVEBOIJ-1,Carrie was helping Patricia diet and exercise at the gym to lose weight because _ used to be overweight.,Carrie,Patricia,1,1,TRUE,1,,hard,no,used to be overweight => has experience losing weight => helps others,,,,,,,
29,3511RHPADVC7EVCM20GK0N1OUZVRLR-1,"Christine was going to Jessica's house to do some cleaning in the kitchen, because _ was a energetic person.",Christine,Jessica,1,1,TRUE,1,,easy,no,energetic => want to do cleaning,,,,,,,
253,3BA7SXOG1JOCZOS38B7GVIFIA2SR87-1,Ian needed to adjust the mirror and Craig did not because _ was shorter than the owner of the car.,Ian,Craig,1,1,TRUE,1,,hard,no,not owner => need to adjust mirror,,,,,,,
577,3EAWOID6MTVMA64HMRZB30Y3C4X0VE-2,"Because William developed a sore knee during his race against against Kyle, _ won the race.",William,Kyle,2,2,TRUE,0,,easy,no,sore knee => can't win the race,,,,,,,
749,3MJ28H2Y1E6QFTHLILJ9P30MXK25OV-2,Ian was supposed to be babysitting for Dennis but didn’t show up because _ was forgotten.,Ian,Dennis,2,1,FALSE,0,,hard,yes,idgi,,,,,,,
1089,3BS6ERDL95LAOPPHHTRYYDQVIX66DJ-2,"Tanya wanted to audition for the show that Sarah was casting, so _ watched her routine very carefully.",Tanya,Sarah,2,1,FALSE,0,,,yes,i think it should be the other way?,,,,,,,
449,36JW4WBR06I8P9ONKK1SR6UYFBMHFT-2,"Caroline works in the catering and food wholesale industries, but enjoys food distribution more, so she prefers her work in the _ industry.",catering,food wholesale,2,1,FALSE,0,,hard,no,wholesale => distribution,,,,,,,
952,3O2Y2UIUCS8ELOO2A3GPWWYZWMFKFN-2,The man with the fever came over and talked to Carrie and not Lindsey because _ was a patient.,Carrie,Lindsey,2,1,FALSE,0,,,yes,and carrie is a doctor???,,,,,,,
